City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Princeton,US,25.5384,-80.4089,80.01,92,84,1.74,broken clouds
331,Carmen,MX,18.6333,-91.8333,78.98,81,81,2.62,broken clouds
332,Severo-Kurilsk,RU,50.6789,156.125,47.82,92,100,25.14,moderate rain
333,Kattivakkam,IN,13.2167,80.3167,96.89,71,100,11.79,overcast clouds
334,Souillac,MU,-20.5167,57.5167,77.38,57,20,16.11,few clouds
335,Liwale,TZ,-9.7667,37.9333,87.85,29,0,7.4,clear sky
336,Gizo,SB,-8.103,156.8419,82.8,77,34,6.26,scattered clouds
337,Nago,JP,26.5881,127.9761,84.27,82,8,10.76,clear sky
338,Lesozavodsk,RU,45.4794,133.4244,58.73,70,100,2.46,overcast clouds
339,Namibe,AO,-15.1961,12.1522,70.43,83,75,0.0,broken clouds
340,Danielskuil,ZA,-28.1887,23.5395,82.83,17,55,22.79,broken clouds
341,Yenagoa,NG,4.9247,6.2642,76.17,90,100,3.94,light rain
342,Goderich,CA,43.7501,-81.7165,61.12,67,78,10.36,broken clouds
343,The Pas,CA,53.8251,-101.2541,46.42,71,98,3.0,overcast clouds
344,Horsham,GB,51.064,-0.3272,63.75,95,75,3.44,broken clouds
