City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Say,NE,13.1007,2.3689,86.94,56,15,8.66,few clouds
251,Asau,RO,46.4333,26.4,67.95,40,16,4.68,few clouds
252,Fortuna,US,40.5982,-124.1573,54.09,75,90,4.61,overcast clouds
253,Agadez,NE,19.75,10.25,92.32,11,0,19.95,clear sky
254,Bernalillo,US,35.05,-106.6673,68.02,50,20,3.44,few clouds
255,Itarema,BR,-2.9248,-39.9167,77.97,78,19,15.43,few clouds
256,Cidreira,BR,-30.1811,-50.2056,56.89,92,2,3.69,clear sky
257,Chuy,UY,-33.6971,-53.4616,55.29,96,3,7.27,clear sky
258,Zomin,UZ,39.9606,68.3958,88.32,9,0,6.64,clear sky
259,Bauchi,NG,10.5,10.0,84.92,53,90,4.09,overcast clouds
260,Mount Gambier,AU,-37.8333,140.7667,48.11,71,40,10.36,scattered clouds
261,Lukaya,UG,-0.1489,31.8748,71.65,56,86,6.06,light rain
262,Esmeralda,CU,21.8525,-78.1169,75.54,90,92,4.61,overcast clouds
263,Adrar,MR,20.5022,-10.0711,90.25,30,91,10.09,overcast clouds
264,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,10.36,light rain
265,Cuenca,EC,-2.8833,-78.9833,50.65,95,100,2.01,light rain
266,Vangaindrano,MG,-23.35,47.6,74.75,64,68,7.96,broken clouds
267,Mlonggo,ID,-6.5333,110.7,89.49,61,62,11.56,broken clouds
268,Palora,EC,-1.7,-77.9333,63.46,79,100,1.45,overcast clouds
269,Saint George,US,37.1041,-113.5841,76.35,27,0,1.01,clear sky
270,Klaksvik,FO,62.2266,-6.589,47.32,90,100,21.07,overcast clouds
271,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,100,90,13.8,mist
272,Kungurtug,RU,50.5994,97.5228,36.63,73,100,7.94,overcast clouds
273,Mecca,SA,21.4267,39.8261,100.94,23,30,8.37,scattered clouds
274,Rocha,UY,-34.4833,-54.3333,55.65,89,100,4.5,overcast clouds
275,Kardla,EE,58.9978,22.7492,53.02,86,67,12.93,broken clouds
276,Samarai,PG,-10.6167,150.6667,79.18,87,24,11.9,few clouds
277,Codrington,AU,-38.2667,141.9667,45.84,68,45,8.57,scattered clouds
278,Andenes,NO,69.3143,16.1194,46.08,87,75,6.91,light rain
279,Waipawa,NZ,-41.4122,175.5153,56.03,77,36,18.14,scattered clouds
280,Kirakira,SB,-10.4544,161.9205,79.95,86,55,8.63,broken clouds
281,Temnikov,RU,54.6302,43.2148,56.05,52,88,6.64,overcast clouds
282,Moussoro,TD,13.6408,16.4901,94.21,21,49,4.92,scattered clouds
283,Bonfim,BR,3.0833,-59.95,75.24,81,50,1.05,scattered clouds
284,Kampot,KH,10.6167,104.1833,78.85,84,100,8.5,overcast clouds
285,Vilhena,BR,-12.7406,-60.1458,70.77,52,16,2.1,few clouds
286,Meridian,US,43.6121,-116.3915,64.09,52,1,1.01,clear sky
287,Rengo,CL,-34.4167,-70.8667,50.5,93,15,0.85,few clouds
288,Mehamn,NO,71.0357,27.8492,47.43,83,93,10.56,overcast clouds
289,Kindu,CD,-2.95,25.95,88.79,47,69,0.36,broken clouds
290,Te Anau,NZ,-45.4167,167.7167,38.57,92,99,3.76,overcast clouds
291,Obidos,BR,-1.9175,-55.5181,74.16,76,61,2.95,broken clouds
292,Sinjar,IQ,36.3209,41.8754,80.33,20,0,11.05,clear sky
293,Kombissiri,BF,12.0656,-1.3375,82.15,65,43,9.4,scattered clouds
