City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Port Alfred,ZA,74.32,broken clouds,-33.5906,26.891,The Halyards Hotel
213,Tual,ID,80.71,broken clouds,-5.6667,132.75,Grand Vilia Hotel
214,Hithadhoo,MV,83.43,overcast clouds,-0.6,73.0833,Scoop Guest House
216,Alta Floresta,BR,72.54,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
217,Pacific Grove,US,60.26,broken clouds,36.6177,-121.9166,Lovers Point Inn
220,Pires Do Rio,BR,75.6,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
221,Ormond Beach,US,79.02,clear sky,29.2858,-81.0559,Makai Beach Lodge
223,Mugla,TR,68.67,clear sky,37.2303,28.3557,Petek Hotel
225,Nangong,CN,63.12,moderate rain,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
227,Muramatsu,JP,69.22,few clouds,37.6833,139.1833,若松屋旅館
228,Sayyan,YE,73.81,scattered clouds,15.1718,44.3244,متنزه و بحيرة سيان
230,Aleksandrov Gay,RU,61.21,broken clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
231,Waingapu,ID,82.71,clear sky,-9.6567,120.2641,Pondok Wisata Elim
232,Ponta Do Sol,PT,76.01,few clouds,32.6667,-17.1,Hotel do Campo
233,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
238,Cabo San Lucas,MX,79.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
241,Verrettes,HT,75.83,scattered clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
245,Paragominas,BR,69.51,scattered clouds,-2.9667,-47.4833,INOVA
246,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
251,Asau,RO,67.95,few clouds,46.4333,26.4,Casa Mika Ciobanus
254,Bernalillo,US,68.02,few clouds,35.05,-106.6673,DoubleTree by Hilton Hotel Albuquerque
255,Itarema,BR,77.97,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
258,Zomin,UZ,88.32,clear sky,39.9606,68.3958,Orol hotel
261,Lukaya,UG,71.65,light rain,-0.1489,31.8748,lemba salongo
262,Esmeralda,CU,75.54,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
266,Vangaindrano,MG,74.75,broken clouds,-23.35,47.6,Hotel Fanilo
267,Mlonggo,ID,89.49,broken clouds,-6.5333,110.7,Asia Metal Art
268,Palora,EC,63.46,overcast clouds,-1.7,-77.9333,Rancho grande
269,Saint George,US,76.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
276,Samarai,PG,79.18,few clouds,-10.6167,150.6667,Nuli Sapi
280,Kirakira,SB,79.95,broken clouds,-10.4544,161.9205,SanBiz Lodge
284,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
285,Vilhena,BR,70.77,few clouds,-12.7406,-60.1458,Hotel Mirage
286,Meridian,US,64.09,clear sky,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
289,Kindu,CD,88.79,broken clouds,-2.95,25.95,Résidence Okanda
291,Obidos,BR,74.16,broken clouds,-1.9175,-55.5181,Hotel Amazônia Center
292,Sinjar,IQ,80.33,clear sky,36.3209,41.8754,زوماني فون 1
293,Kombissiri,BF,82.15,scattered clouds,12.0656,-1.3375,Mitibkieta Annexe
296,Antalaha,MG,79.34,clear sky,-14.9003,50.2788,Hotel Vitasoa
299,Linxia,CN,66.6,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
301,Kruisfontein,ZA,80.13,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
302,Bowen,AU,71.94,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
303,Saldanha,ZA,62.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
305,Zhezkazgan,KZ,66.72,scattered clouds,47.8043,67.7144,Hotel Zumrat
306,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
307,Mandalgovi,MN,65.28,broken clouds,45.7625,106.2708,В.Ганбат
309,Igboho,NG,78.4,broken clouds,8.8333,3.75,More Hotet LTD
310,Austin,US,68.29,few clouds,30.2672,-97.7431,The Driskill - In the Unbound Collection by Hyatt
315,Plainview,US,61.75,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
318,Kabwe,ZM,84.04,clear sky,-14.4469,28.4464,Tuskers
319,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Hotel Citra
